"email_hash","category"
"d26b19d484a5b70fef79802a8f521a5fbfd23f7518773416c4e771e834e6de56","Purses"
"8cb9f4b523312b6adfc079e7a33e126ae80cc5d6183c3df9cb0198b13e44250a","Purses"
"59e5f1e1eab0f8a9112eda555674a0af70d54ab5eac07f24f1ea5ad93bf53c76","Wallets"
"f34c9bd2931ec0a4bbae002c2d55a49782eab991f75031d42baf0afde2e2f2db","Wallets"
"c27fcf451eb6933ca02bef2650661f472dde04e6bfcacfc603a0dee609cb2667","Watches"
"586988059447d03ca50591d37c14529cc8f119ef3714a0fd5997a7e46d915e3f","Wallets"
"8d033e6ed165c054a35301ec9a03e218eecb1e58615d943aa637c799157bc67c","Wallets"
"92727b45ee998dd902665945573c298f1d432f7441544407470f3afa2e312236","Purses"
"717a447d063b97dc2c678f0b7c5abf1de4d4a011e7a25c98035700da0c7e0d70","Satchels"
"db45b78f6024692a9080d3f9d605356a079436182329159d51ce99350a385921","Purses"
"bc5bce977ea6f303f5fd2150a4f7a9fd8e451ba40e00ae6c073be155d8c0c7b6","Purses"
"43ddb7e88f550cc8844551080f89724660ac55e6b52857b4d02cc1ab75e43d07","Satchels"
"8f7accd2e84236bad5ccc0f55e37cfb01e743041e59874874d147c7849bc4b03","Wallets"
"a04854a1012a7d436a015c605e04ebdf53e8bfb974c3167c0ddfa00fffc2aa2a","Watches"
"fea6c03be00afd0f1bb400d8fc6240eefea9626cd7e8364d46e7fea686b0f1f0","Watches"
"b8a4a8bbc00acf61199570c3b36bb4e656ce940697f51b364323934707ece796","Purses"
"6a07a90f74e555319f62972d15bfa128b036fedf47256e56bde6f7307d76cb2f","Wallets"
"22be595f6f51f20be97a851254f52baa4c8de41c40754d7844254934b869bc6d","Purses"
"9d5716a9701174c490dde8f249b12578513575eca3c5138ee8511aaa1bcec617","Wallets"
"c5442aaef95bf5868fa4b0e39bd61f05ae0e278e5c83f95c2f8c8f7676dec9f2","Wallets"
"da3d819434e27f6efec849b9453b814e2aa13b836847ca126dd7a7288e347fc5","Wallets"
"179d86b14bdc36563e891fead4b48dfa0c80fd7854104f9a3214d27b62f94edb","Watches"
"7f732dc5380f593d261000a578ac0e4c35f89ba191eca82f0c3190eb90be1541","Watches"
"a1f1bb68dc58ad72595ac6864bc53aafee90c4a3a030514eed21625d680754ea","Satchels"
"59afe6e61c7ca001f1ff2c22f973bc4601dd4121c1deef2841c63575ef3368c1","Satchels"
"f83a2bd36b7ee2bd7b6fa171cd17e19cb60a4417c46a6116870a27dfbeceaf62","Watches"
"388a9028cf6de9bbd97677857d4b03651de256db73279e3756661d3b869e1378","Satchels"
"1b9a9daa3fa6513bfaa29e8d50c95f266664d4631d7bd5452583274b32c9b1eb","Satchels"
"6079d86ad017a64591f1000dad2e4724c783814d8f991ecfc62471d3c6dadc33","Watches"
"3d24a40d2121a22c8a3b4b05db9cb70915e2affde79762d2ea436bfeab720fa7","Wallets"
"d84342f50cbbb6da5f259e53770ca079bc8753084c745efe8c84a0f1bbbd8538","Satchels"
"2b27a6a25582c8eb15ee5a3b9e812cbb4c2999ae663f61e38b41bb9fd9dc4006","Wallets"
"645dc339b9035511db3351ab7e1fb68b61e0778016cafa6a65ec00e9f0f589d5","Purses"
"0d251e81a1e7126552ade01030a8cf6d0eb44e254c988f84f399dbf51eda7ef4","Watches"
"6bdff51fd08e6f8931f8f42e32bea23c0ba95e74474ce38bd993d27e57a8bc25","Watches"
"83462a5bea04c3050aec7aa2efe1f893123bb4e68f3cd4aef8deb28e9cf0f48b","Watches"
"e74f3746fdc2b0be8c33e68822ece0a18afd062ace779708ce9eada62f6f3ff0","Watches"
"9795b8ae27465cd595fb6bcb49c3908ebd01be6a873617112c70d8e72496a12a","Purses"
